1 0.1 2 400ms 0.5 10 0.7 15
3 3 1 1 0ms 0 100 1 30
3 3 1 1 0ms 0 100 1 30
5 5 1 1 0ms 0 100 0.7 100
3 3 1 1 0ms 0 100 1 30
3 3 1 1 0ms 0 100 1 30
5 5 1 1 0ms 0 100 0.7 100
3 3 1 1 0ms 0 100 1 30
3 3 1 1 0ms 0 100 1 30
5 5 1 1 0ms 0 100 0.7 100
17 17 1 1 0ms 0 50 1 100
17 17 1 1 0ms 0 50 1 100
97 97 1 1 0ms 0.1 100 1 100
98 98 1 1 0ms 0.1 100 1 70
673 673 1 1 10ms 0 100 1 100
1 1 1 1 0ms 0 100 1 100
74 74 1 1 0ms 0 2 0.4 70
75 75 1 1 0ms 0 2 0.4 30
83 83 1 1 0ms 0 1 1 30
89 89 1 1 0ms 0 1 0.4 100
97 97 1 1 0ms 0.1 100 1 100
98 98 1 1 0ms 0.1 100 1 70
